Taiwan,#genre#
民視,http://23.224.232.221:81/kk.php?id=ftvhd_taiwan
台視,http://23.224.232.221:81/kk.php?id=ttv_taiwan
中視,http://23.224.232.221:81/kk.php?id=zhongshihd_twn
華視,http://23.224.232.221:81/kk.php?id=ctshd_twn
公視,http://23.224.232.221:81/kk.php?id=ctv_taiwan

亞洲美食,http://23.224.232.221:81/kk.php?id=afc_twn
美食星球,http://23.224.232.221:81/kk.php?id=foodplanet_twn
亞洲旅遊,http://23.224.232.221:81/kk.php?id=tlc_twn
EYETV旅遊,http://23.224.232.221:81/kk.php?id=eyetvtravel_twn
亞洲旅遊,http://23.224.232.221:81/kk.php?id=asiatravel_twn

東森幼幼,http://23.224.232.221:81/kk.php?id=yoyo_twn
靖天卡通,http://23.224.232.221:81/kk.php?id=jingtiancartoon_twn

緯來綜合,http://23.224.232.221:81/kk.php?id=videolandzonghe
八大第一,http://23.224.232.221:81/kk.php?id=badafirst
八大綜合,http://23.224.232.221:81/kk.php?id=badazhonghe
八大娛樂,http://23.224.232.221:81/kk.php?id=badaentertain
三立台灣,http://23.224.232.221:81/kk.php?id=sanlitaiwan
三立戲劇,http://23.224.232.221:81/kk.php?id=sanlixiju_twn
三立綜合,http://23.224.232.221:81/kk.php?id=sanlizhonghe
三立都會,http://23.224.232.221:81/kk.php?id=sanlidouhui
華藝綜合,http://23.224.232.221:81/kk.php?id=weishichinese_twn
愛爾達影劇,http://23.224.232.221:81/kk.php?id=eltayingju_twn
愛爾達綜合,http://23.224.232.221:81/kk.php?id=eltazonghe_twn
東森綜合,http://23.224.232.221:81/kk.php?id=ettvzhonghe
東森超視,http://23.224.232.221:81/kk.php?id=ettvsuper
中天娛樂,http://23.224.232.221:81/kk.php?id=ctient
中天綜合,http://23.224.232.221:81/kk.php?id=ctizhonghe
中天亞洲,http://23.224.232.221:81/kk.php?id=ctiasia_twn
東森戲劇,http://23.224.232.221:81/kk.php?id=ettvdrama
八大戲劇,http://23.224.232.221:81/kk.php?id=badadrama

TVBS歡樂台,http://23.224.232.221:81/kk.php?id=tvbshuanle_twn
龍華戲劇,http://23.224.232.221:81/kk.php?id=lunghuaxiju_twn
龍華戲劇,http://23.224.232.221:81/kk.php?id=lunghuaxiju_twn
龍華經典,http://23.224.232.221:81/kk.php?id=lunghuajingdian_twn
龍華偶像,http://23.224.232.221:81/kk.php?id=lunghuaidol_twn
EYETV戲劇,http://23.224.232.221:81/kk.php?id=eyetvxiju_twn
年代新聞,http://23.224.232.221:81/kk.php?id=niandainews_twn
東森新聞,http://23.224.232.221:81/kk.php?id=ettvnews
民視新聞,http://23.224.232.221:81/kk.php?id=ftvnew_taiwan
